tree,SPR_dist,order,dist_type,dist_value
5,10,7,HOP,30
5,15,7,HOP,39
5,20,7,HOP,42
5,25,7,HOP,50
5,30,7,HOP,53
5,35,7,HOP,59
5,40,7,HOP,59
5,45,7,HOP,60
5,50,7,HOP,62
5,55,7,HOP,71
5,60,7,HOP,73
5,65,7,HOP,72
5,70,7,HOP,76
5,75,7,HOP,78
5,80,7,HOP,78
5,85,7,HOP,80
5,90,7,HOP,82
5,95,7,HOP,82
5,100,7,HOP,84
5,5,8,HOP,10
5,10,8,HOP,26
5,15,8,HOP,35
5,20,8,HOP,46
5,25,8,HOP,51
5,30,8,HOP,56
5,35,8,HOP,58
5,40,8,HOP,64
5,45,8,HOP,64
5,50,8,HOP,69
5,55,8,HOP,71
5,60,8,HOP,76
5,65,8,HOP,70
5,70,8,HOP,71
5,75,8,HOP,76
5,80,8,HOP,78
5,85,8,HOP,79
5,90,8,HOP,81
5,95,8,HOP,81
5,100,8,HOP,83
5,5,9,HOP,17
5,10,9,HOP,27
5,15,9,HOP,33
5,20,9,HOP,39
5,25,9,HOP,43
5,30,9,HOP,50
5,35,9,HOP,56
5,40,9,HOP,62
5,45,9,HOP,62
5,50,9,HOP,64
5,55,9,HOP,70
5,60,9,HOP,73
5,65,9,HOP,75
5,70,9,HOP,80
5,75,9,HOP,82
5,80,9,HOP,81
5,85,9,HOP,81
5,90,9,HOP,84
5,95,9,HOP,82
5,100,9,HOP,83
5,5,10,HOP,15
5,10,10,HOP,32
5,15,10,HOP,38
5,20,10,HOP,42
5,25,10,HOP,51
5,30,10,HOP,54
5,35,10,HOP,63
5,40,10,HOP,60
5,45,10,HOP,65
5,50,10,HOP,66
5,55,10,HOP,68
5,60,10,HOP,72
5,65,10,HOP,72
5,70,10,HOP,77
5,75,10,HOP,80
5,80,10,HOP,81
5,85,10,HOP,82
5,90,10,HOP,82
5,95,10,HOP,81
5,100,10,HOP,84
6,5,1,RF,76
6,10,1,RF,104
6,15,1,RF,116
6,20,1,RF,134
6,25,1,RF,152
6,30,1,RF,158
6,35,1,RF,170
6,40,1,RF,174
6,45,1,RF,176
6,50,1,RF,172
6,55,1,RF,170
6,60,1,RF,174
6,65,1,RF,178
6,70,1,RF,178
6,75,1,RF,178
6,80,1,RF,178
6,85,1,RF,178
6,90,1,RF,178
6,95,1,RF,182
6,100,1,RF,184
6,5,1,HOP,24
6,10,1,HOP,36
6,15,1,HOP,43
6,20,1,HOP,47
6,25,1,HOP,55
6,30,1,HOP,62
6,35,1,HOP,68
6,40,1,HOP,70
6,45,1,HOP,72
6,50,1,HOP,72
6,55,1,HOP,72
6,60,1,HOP,74
6,65,1,HOP,74
6,70,1,HOP,77
6,75,1,HOP,78
6,80,1,HOP,77
6,85,1,HOP,78
6,90,1,HOP,78
6,95,1,HOP,80
6,100,1,HOP,82
6,5,2,HOP,23
6,10,2,HOP,29
6,15,2,HOP,38
6,20,2,HOP,46
6,25,2,HOP,52
6,30,2,HOP,58
6,35,2,HOP,63
6,40,2,HOP,67
6,45,2,HOP,73
6,50,2,HOP,72
6,55,2,HOP,70
6,60,2,HOP,74
6,65,2,HOP,75
6,70,2,HOP,76
6,75,2,HOP,76
6,80,2,HOP,77
6,85,2,HOP,78
6,90,2,HOP,78
6,95,2,HOP,79
6,100,2,HOP,80
6,5,3,HOP,23
6,10,3,HOP,33
6,15,3,HOP,43
6,20,3,HOP,49
6,25,3,HOP,58
6,30,3,HOP,62
6,35,3,HOP,68
